,title,url,clusters
0,"UK among most liberal countries on divorce and abortion, survey reveals - The Guardian",https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS91ay1uZXdzLzIwMjMvbWFyLzA3L3VrLWFtb25nLW1vc3QtbGliZXJhbC1jb3VudHJpZXMtb24tZGl2b3JjZS1hbmQtYWJvcnRpb24tc3VydmV5LXJldmVhbHPSAXZodHRwczovL2FtcC50aGVndWFyZGlhbi5jb20vdWstbmV3cy8yMDIzL21hci8wNy91ay1hbW9uZy1tb3N0LWxpYmVyYWwtY291bnRyaWVzLW9uLWRpdm9yY2UtYW5kLWFib3J0aW9uLXN1cnZleS1yZXZlYWxz?oc=5&hl=en-US&gl=US&ceid=US:en,Social
1,Biden rebuffs UK bid for closer cooperation on tech - POLITICO Europe,https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vd3d3LnBvbGl0aWNvLmV1L2FydGljbGUvYmlkZW4tdW5pdGVkLWtpbmdkb20tdGVjaG5vbG9neS1yaXNoaS1zdW5hay1jb29wZXJhdGlvbi10cmFkZS_SAWJodHRwczovL3d3dy5wb2xpdGljby5ldS9hcnRpY2xlL2JpZGVuLXVuaXRlZC1raW5nZG9tLXRlY2hub2xvZ3ktcmlzaGktc3VuYWstY29vcGVyYXRpb24tdHJhZGUvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en,International
2,Home secretary to be given duty to remove people coming to UK illegally - BBC,https://news.google.com/rss/articles/CBMiLWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay1wb2xpdGljcy02NDg3MTE5M9IBMWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay1wb2xpdGljcy02NDg3MTE5My5hbXA?oc=5&hl=en-US&gl=US&ceid=US:en,Local
3,UK government to introduce legislation to deport Channel migrants - Euronews,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmV1cm9uZXdzLmNvbS8yMDIzLzAzLzA2L3VrLWdvdmVybm1lbnQtdG8taW50cm9kdWNlLWxlZ2lzbGF0aW9uLXRvLWRlcG9ydC1jaGFubmVsLW1pZ3JhbnRz0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,International
4,UK To Unveil Latest Bid To Stop Migrants Crossing Channel - Barron's,https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmJhcnJvbnMuY29tL25ld3MvdWstdG8tdW52ZWlsLWxhdGVzdC1iaWQtdG8tc3RvcC1taWdyYW50cy1jcm9zc2luZy1jaGFubmVsLTMzNWY1Yzhm0gFjaHR0cHM6Ly93d3cuYmFycm9ucy5jb20vYW1wL25ld3MvdWstdG8tdW52ZWlsLWxhdGVzdC1iaWQtdG8tc3RvcC1taWdyYW50cy1jcm9zc2luZy1jaGFubmVsLTMzNWY1Yzhm?oc=5&hl=en-US&gl=US&ceid=US:en,International
5,UK says Falklands are British as Argentina seeks new talks - The Associated Press - en Español,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2ZhbGtsYW5kLWlzbGFuZHMtYXJnZW50aW5hLWJyaXRhaW4tYWdyZWVtZW50LXRlcnJpdG9yeS1kYjM2ZTdmYmM5M2Y0NWQzMTIxZmFmMzY0YzJhNWIxZtIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,Environment
6,UK Weather: Snow and ice warnings extended to more parts of UK - BBC,https://news.google.com/rss/articles/CBMiJGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay02NDg0ODY4ONIBKGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy91ay02NDg0ODY4OC5hbXA?oc=5&hl=en-US&gl=US&ceid=US:en,Local
7,UK Grid Issues Energy Supply Warning for Tuesday Amid Cold Snap - Bloomberg,https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTAzLTA2L3VrLWdyaWQtaXNzdWVzLWVuZXJneS1zdXBwbHktd2FybmluZy1mb3ItdHVlc2RheS1hbWlkLWNvbGQtc25hcNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,International
8,What Washington needs from UK’s national security Integrated Review - Breaking Defense,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vYnJlYWtpbmdkZWZlbnNlLmNvbS8yMDIzLzAzL3doYXQtd2FzaGluZ3Rvbi1uZWVkcy1mcm9tLXVrcy1uYXRpb25hbC1zZWN1cml0eS1pbnRlZ3JhdGVkLXJldmlldy_SAW1odHRwczovL2JyZWFraW5nZGVmZW5zZS5jb20vMjAyMy8wMy93aGF0LXdhc2hpbmd0b24tbmVlZHMtZnJvbS11a3MtbmF0aW9uYWwtc2VjdXJpdHktaW50ZWdyYXRlZC1yZXZpZXcvP2FtcD0x?oc=5&hl=en-US&gl=US&ceid=US:en,International
9,UK construction sector rebounds in February - PMI - Reuters UK,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL3VrL3VrLWNvbnN0cnVjdGlvbi1zZWN0b3ItcmVib3VuZHMtZmVicnVhcnktcG1pLTIwMjMtMDMtMDYv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,Environment
10,It is time for a UK-wide growth strategy - Financial Times,https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50L2MyMzdkOWZhLWZmYTItNDdkMi1iNmVhLWM2MjdiZjgwZGRmZNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,Environment
11,Rahul Gandhi To Speak In UK Parliament Today Amid Cambridge Row: Sources - NDTV.com,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3Lm5kdHYuY29tL2luZGlhLW5ld3MvcmFodWwtZ2FuZGhpLXRvLWFkZHJlc3MtdGhlLWJyaXRpc2gtcGFybGlhbWVudC10b2RheS1zb3VyY2VzLTM4Mzc2MzDSAWpodHRwczovL3d3dy5uZHR2LmNvbS9pbmRpYS1uZXdzL3JhaHVsLWdhbmRoaS10by1hZGRyZXNzLXRoZS1icml0aXNoLXBhcmxpYW1lbnQtdG9kYXktc291cmNlcy0zODM3NjMwL2FtcC8x?oc=5&hl=en-US&gl=US&ceid=US:en,International
12,"More UK factories turn away from foreign suppliers, survey shows - Reuters UK",https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL3VrL21vcmUtdWstZmFjdG9yaWVzLXR1cm4tYXdheS1mb3JlaWduLXN1cHBsaWVycy1zdXJ2ZXktc2hvd3MtMjAyMy0wMy0wNy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,Environment
13,Labour proposes long-term tax breaks to increase UK investment and growth - The Guardian,https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9tb25leS8yMDIzL21hci8wNi9sZWFkaW5nLXVrLWNlb3MtYXR0YWNrLWVuZXJneS1zdXBwb3J0LXBvbGljeS1hcy1icmFrZS1vbi1pbnZlc3RtZW500gFxaHR0cHM6Ly9hbXAudGhlZ3VhcmRpYW4uY29tL21vbmV5LzIwMjMvbWFyLzA2L2xlYWRpbmctdWstY2Vvcy1hdHRhY2stZW5lcmd5LXN1cHBvcnQtcG9saWN5LWFzLWJyYWtlLW9uLWludmVzdG1lbnQ?oc=5&hl=en-US&gl=US&ceid=US:en,Social
14,UK weather: Cold weather alert issued for England as most of UK braces for snow and ice - Sky News,https://news.google.com/rss/articles/CBMihwFodHRwczovL25ld3Muc2t5LmNvbS9zdG9yeS91ay1jb3VsZC1iZS1zZXQtZm9yLWNvbGRlc3QtdGVtcGVyYXR1cmUtb2YtdGhlLXllYXItYXMteWVsbG93LXdhcm5pbmdzLWZvci1zbm93LWFyZS1icm91Z2h0LWZvcndhcmQtMTI4MjY2ODTSAYsBaHR0cHM6Ly9uZXdzLnNreS5jb20vc3RvcnkvYW1wL3VrLWNvdWxkLWJlLXNldC1mb3ItY29sZGVzdC10ZW1wZXJhdHVyZS1vZi10aGUteWVhci1hcy15ZWxsb3ctd2FybmluZ3MtZm9yLXNub3ctYXJlLWJyb3VnaHQtZm9yd2FyZC0xMjgyNjY4NA?oc=5&hl=en-US&gl=US&ceid=US:en,International
15,Lessons from Abroad: Dingle Visits UK Juvenile Facilities - NC DPS (.gov),https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3Lm5jZHBzLmdvdi9ibG9nLzIwMjMvMDMvMDYvbGVzc29ucy1hYnJvYWQtZGluZ2xlLXZpc2l0cy11ay1qdXZlbmlsZS1mYWNpbGl0aWVz0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,Government
16,"Boeing, Airbus pair up to bid for UK's helicopter contract - Reuters",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL2Flcm9zcGFjZS1kZWZlbnNlL2JvZWluZy1haXJidXMtcGFpci11cC1iaWQtdWtzLWhlbGljb3B0ZXItY29udHJhY3QtMjAyMy0wMy0wNi_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,Environment
17,Joint outcome statement: UK-India round seven FTA negotiations - GOV.UK,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3Lmdvdi51ay9nb3Zlcm5tZW50L25ld3Mvam9pbnQtb3V0Y29tZS1zdGF0ZW1lbnQtdWstaW5kaWEtcm91bmQtc2V2ZW4tZnRhLW5lZ290aWF0aW9uc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,Government
